+-------+------------------------+---------------------+----------------+------------------+-----------+--------------------------+-----------------+-------------------------+-----------------------+------------------------+
| dbms  | TABLE_SCHEMA           | TABLE_NAME          | COLUMN_NAME    | ORDINAL_POSITION | DATA_TYPE | CHARACTER_MAXIMUM_LENGTH | CONSTRAINT_TYPE | REFERENCED_TABLE_SCHEMA | REFERENCED_TABLE_NAME | REFERENCED_COLUMN_NAME |
| mysql | db_42y45tk5c_42ybqdads | manages             | MG_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | send                | C_ID           |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | send                | M_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | message               | M_ID                   |
| mysql | db_42y45tk5c_42ybqdads | send                | S_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | notify              | C_ID           |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | notify              | N_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | notify              | TA_ID          |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | tag                   | TA_ID                  |
| mysql | db_42y45tk5c_42ybqdads | joincreate          | C_ID           |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | joincreate          | JC_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | joincreate          | PR_ID          |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | project               | PR_ID                  |
| mysql | db_42y45tk5c_42ybqdads | linkup              | LU_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | linkup              | P_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | post                  | P_ID                   |
| mysql | db_42y45tk5c_42ybqdads | linkup              | PR_ID          |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | project               | PR_ID                  |
| mysql | db_42y45tk5c_42ybqdads | projecttag          | PR_ID          |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | project               | PR_ID                  |
| mysql | db_42y45tk5c_42ybqdads | projecttag          | PT_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | projecttag          | TA_ID          |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | tag                   | TA_ID                  |
| mysql | db_42y45tk5c_42ybqdads | posttag             | P_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | post                  | P_ID                   |
| mysql | db_42y45tk5c_42ybqdads | posttag             | PTAG_ID        |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | posttag             | TA_ID          |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | tag                   | TA_ID                  |
+-------+------------------------+---------------------+----------------+------------------+-----------+--------------------------+-----------------+-------------------------+-----------------------+------------------------+
